Smiles,IC50
O=C(c1ccc(CN2CCCCC2)cc1)N1CCc2nc(-c3cc4cc(F)ccc4[nH]c3=O)[nH]c2C1,4.9
Cc1cccc(NC(=O)Nc2ccc(-c3ccc(F)c4[nH]nc(N)c34)cc2)c1,5
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5ccncc5)cnc(N)c34)cc2)c1,5
COc1ccc(Nc2ncc3c(n2)CCN(C(=O)c2cccnc2)C3)cc1,5
CCCn1c2ccc(C(=O)c3cccs3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,5
COC(=O)CCCCS(C)(=O)=NC(=O)c1cnc(N)c(C#Cc2cccc(NC(=O)c3cccc(OC)c3)c2)c1,5
CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,5
Cc1cccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,5
COc1cc(-c2cc(NC(=O)Nc3ccc(OCCN4CCCCC4)cc3C)cc(OC)c2OC)ccc1C(C)=O,5.26
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1F,5.4
O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1)Nc1cc(C(F)(F)F)cc(N2CCOCC2)n1,5.4
CN1CCC(COc2ccc3c(Nc4ccc(NC(=O)Nc5cccc(F)c5)cc4)ncnc3c2)CC1,5.5
COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)c2cc1OC,5.6
COCCOc1cc2ncnc(NC3=CC(=O)C(OC(CF)CF)=C(OC)C3=O)c2cc1OC,5.7
COc1cc2c(NC3=CC(=O)C(OCCN(C)c4ccccc4)=CC3=O)ncnc2cc1OCC1CCN(C)CC1,5.8
Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc1)CCN2,6
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cc[nH]n5)cnc(N)c34)cc2)c1,6
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCN(C)CC1,6
COc1ccccc1NC(=O)Nc1ccc(-c2csc3c(-c4cnn(C)c4)cnc(N)c23)cc1,6
Cn1cc(/C=C2\C(=O)NN=C2c2cnccn2)c2c(Br)cccc21,6
CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,6
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)N(C)c5ccccc5)cc4F)c3s2)c1,6
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5OC)cc4F)c3s2)c1,6
Cc1cccc(NC(=O)Nc2ccc(-c3c(C)sc4ncnc(N)c34)cc2)c1,6
Cn1cc(-c2ccn3c(N)c(-c4ccc(NC(=O)Nc5ccc(F)c(C(F)(F)F)c5)cc4)cnc23)cn1,6
COc1cc(OC)cc(-c2cc3cnc(NCCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C)c1,6
O=C(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,6
CC1CN(c2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc(C(F)(F)F)c2)CC(C)O1,6.2
COc1cc2c(NC3=CC(=O)C(OC(CF)CF)=CC3=O)ncnc2cc1OCCCN1CCCC1,6.4
O=C(Cc1ccncc1)N1CCc2nc(-c3cc4ccccc4[nH]c3=O)[nH]c2C1,6.7
Cc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1NC(=O)Nc1ccc(Cl)c(OC(F)(F)F)c1,6.8
COc1cc2nccc(Oc3ccc4oc(Nc5ccc(Cl)c(OC[C@@H]6CCCN6C)c5)nc4c3)c2cc1OC,7
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(Cl)c5)cc4)csc23)cn1,7
COC(=O)CCCCS(C)(=O)=NC(=O)c1cnc(N)c(C#Cc2cccc(NC(=O)c3occc3C)c2)c1,7
O=C1Nc2cc([N+](=O)[O-])ccc2/C1=C(/Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,7
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5O)cc4F)c3s2)c1,7
COc1cc2c(NC3=CC(=O)C(OC(CF)CF)=CC3=O)ncnc2cc1OCCCN1CCCC1,7.4
COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,7.8
Nc1n[nH]c2nccc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,7.9
Cc1[nH]c(/C=C2\C(=O)Nc3cc(NC(=O)Nc4ccc(Cl)cc4)ccc32)c(C)c1C(=O)O,7.9
O=C(Nc1cc(-c2ccncc2)cc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1,8
O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,8
COC(=O)c1cncc2c1CCN(c1cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c1)C2,8
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccccc6)CC5)cc4F)c3s2)c1,8
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(Cl)cc5)cc4)csc23)cn1,8
COCCOc1cc2ncnc(NC3=CC(=O)C(OCC#Cc4ccccc4)=CC3=O)c2cc1OC,8.1
Cc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1NC(=O)Nc1ccc(C#N)c(Cl)c1,8.3
COc1cc2ncnc(Oc3ccc(NC(=O)NC4(C#N)CCCC4)c4ccccc34)c2cc1OC,8.7
CCN(CC)CCOc1ccc(NC(=O)c2cccc(-c3cccc(O)c3)c2)cc1F,8.74
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(Cl)cc(Cl)c4)cc3)c2cc1OC,8.9
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,9
CCCn1c2ccc(Nc3ncc(CC)cn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,9
Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1,9
CC(Oc1ccc2[nH]nc(-c3nc4cc(N5C[C@@H](C)N[C@@H](C)C5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl,9
CC(F)(F)c1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)c1,9.1
O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1,9.2
O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1F)Nc1cc(OC(F)(F)F)ccc1F,9.4
COc1ccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2Cl)cc1C(F)(F)F,9.4
COc1cc2c(NC3=CC(=O)C(OCc4ccccn4)=CC3=O)ncnc2cc1OCCCN1CCCC1,9.6
Nc1cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)cc(C(F)(F)F)c1,9.7
CC(F)(F)c1cccc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)c1,9.8
CC(F)(F)c1cccc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)c1,9.9
O=C(Nc1cccc(Oc2cc(NC(=O)C3CC3)ncn2)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,9.9
CC(C)Nc1ccc(Oc2cc(O)cc(O)c2-c2cc(C(=O)NC3CCN(C)CC3)no2)cc1,10
CC(C)n1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,10
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCSC4)ccc2-3)cs1)COc1ccccc1,10
Nc1noc2cccc(-c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,10
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,10
Cc1cccc(NC(=O)Nc2ccc(-c3ccc(NC(=O)c4cccnc4)c4c3CNC4=O)cc2)c1,10
COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)cc1,10
CCCn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,10
CCc1cnc(Nc2ccc3c(c2)c2c4c(c5c(c2n3CC(C)C)CCc2nn(C)cc2-5)C(=O)NC4)nc1,10
CN1CCN(CC(=O)Nc2cccc3c2Cc2c-3n[nH]c2-c2csc(C#CCOc3ccccc3)c2)CC1,10
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccccc5)C(F)(F)F)cc4F)c3s2)c1,10
CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,10
Cn1cc(/C=C2\C(=O)NN=C2c2cnccn2)c2cc(Cl)ccc21,10
O=C(Nc1cccc(Oc2ccc3nc(NC(=O)C4CCOCC4)cn3n2)c1)c1cccc(C(F)(F)F)c1,10
CC(=O)c1ccc2c(c1)c1c3c(c4c(c1n2C)CCc1nn(C)cc1-4)C(=O)NC3,10
O=C(Nc1ccc(F)cc1)Nc1cccc(Sc2ccnc3ccsc23)c1,10
